-----------------------------------------------------------------
      name      kor eng mat sum average rnk
-----------------------------------------------------------------
ChoiYunSeng      59  69  41 169  56.33 10
HongJinHo        85  69  91 245  81.67  7
LeeJaeDong       95  81  79 255  85.00  4
LeeYoungHo       75  81  93 249  83.00  5
LeeYunYeol       95  90  83 268  89.33  3
LimYoHan         85  91  73 249  83.00  5
MaJaeYun         60  59  59 178  59.33  9
ParkJungSeok    100 100 100 300 100.00  1
ParkTaeMin       70  60  60 190  63.33  8
ShinJiSu         85  99  91 275  91.67  2
